file,jawaban,penjelasan,kategori,level
cangkul.jpg,Cangkul,Cangkul digunakan untuk mencangkul tanah.,Alat,Mudah
paluh.jpg,Paluh,Paluh adalah alat sederhana untuk memukul benda.,Alat,Mudah
obeng.jpg,Obeng,Obeng digunakan untuk memasang atau melepas sekrup.,Alat,Mudah
gunting.jpg,Gunting,Gunting digunakan untuk memotong kertas atau kain.,Alat,Mudah
bor.jpg,Bor,Bor digunakan untuk melubangi permukaan keras seperti kayu atau tembok.,Alat,Mudah
komputer.jpg,Komputer,Komputer adalah perangkat elektronik yang digunakan untuk pengolahan data.,Alat,Sedang
lampu.jpg,Lampu,Lampu digunakan untuk penerangan.,Alat,Sedang
sekop.jpg,Sekop,Sekop adalah alat yang digunakan untuk menggali atau memindahkan tanah.,Alat,Sedang
tangga.jpg,Tangga,Tangga adalah alat bantu untuk mencapai tempat yang tinggi.,Alat,Sedang
kipas_angin.jpg,Kipas Angin,Kipas angin digunakan untuk menghasilkan angin agar udara menjadi sejuk.,Alat,Sedang
apel.jpg,Apel,Apel adalah buah yang kaya serat dan vitamin.,Buah,Mudah
pisang.jpg,Pisang,Pisang adalah buah yang kaya akan kalium.,Buah,Mudah
mangga.jpg,Mangga,Mangga adalah buah tropis yang manis dan berdaging tebal.,Buah,Mudah
jeruk.jpg,Jeruk,Jeruk adalah sumber vitamin C yang baik.,Buah,Mudah
anggur.jpg,Anggur,Anggur adalah buah kecil yang tumbuh berkelompok.,Buah,Mudah
durian.jpg,Durian,Durian adalah buah tropis yang terkenal dengan baunya yang khas.,Buah,Sedang
melon.jpg,Melon,Melon adalah buah berkulit keras dan berdaging lembut serta berair.,Buah,Sedang
kiwi.jpg,Kiwi,Kiwi adalah buah kecil berbulu dengan rasa asam-manis dan kaya vitamin C.,Buah,Sedang
stroberi.jpg,Stroberi,Stroberi adalah buah merah kecil yang manis dan sering dijadikan dessert.,Buah,Sedang
lemon.jpg,Lemon,Lemon adalah buah sitrus yang rasanya asam dan digunakan untuk campuran minuman.,Buah,Sedang
ayam.jpg,Ayam,Ayam adalah unggas yang sering diternakkan.,Hewan,Mudah
sapi.jpg,Sapi,Sapi adalah hewan ternak penghasil susu dan daging.,Hewan,Mudah
kucing.jpg,Kucing,Kucing adalah hewan peliharaan yang jinak dan lucu.,Hewan,Mudah
anjing.jpg,Anjing,Anjing adalah sahabat manusia yang setia.,Hewan,Mudah
gajah.jpg,Gajah,Gajah adalah mamalia darat terbesar dengan belalai panjang.,Hewan,Mudah
kambing.jpg,Kambing,Kambing adalah hewan ternak yang dimanfaatkan daging dan susunya.,Hewan,Sedang
bebek.jpg,Bebek,Bebek adalah unggas yang sering diternakkan untuk telur dan dagingnya.,Hewan,Sedang
kelinci.jpg,Kelinci,Kelinci adalah hewan mamalia kecil yang sering dipelihara sebagai hewan peliharaan.,Hewan,Sedang
jerapah.jpg,Jerapah,Jerapah adalah hewan darat tertinggi dengan leher panjang dan bintik-bintik di tubuhnya.,Hewan,Sedang
penyu.jpg,Penyu,Penyu adalah hewan reptil yang hidup di laut dan memiliki cangkang keras.,Hewan,Sedang
bayam.jpg,Bayam,Bayam adalah sayuran hijau yang kaya zat besi.,Sayur,Mudah
cabai.jpeg,Cabai,Cabai digunakan sebagai bumbu pedas.,Sayur,Mudah
wortel.jpg,Wortel,Wortel adalah sayur yang kaya vitamin A.,Sayur,Mudah
tomat.jpg,Tomat,Tomat sering digunakan sebagai bahan masakan dan kaya antioksidan.,Sayur,Mudah
timun.jpg,Timun,Timun memiliki kandungan air yang tinggi dan menyegarkan.,Sayur,Mudah
kangkung.jpg,Kangkung,Kangkung adalah sayuran hijau yang sering diolah menjadi tumisan atau sayur bening.,Sayur,Sedang
terong.jpg,Terong,Terong adalah sayuran ungu yang bisa diolah menjadi berbagai masakan.,Sayur,Sedang
bawang_putih.jpg,Bawang Putih,Bawang putih digunakan sebagai bumbu penyedap alami dalam masakan.,Sayur,Sedang
bawang_merah.jpg,Bawang Merah,Bawang merah adalah bumbu dasar dalam berbagai masakan Indonesia.,Sayur,Sedang
ubi_jalar.jpg,Ubi Jalar,Ubi jalar adalah tanaman umbi yang memiliki warna daging kuning atau ungu.,Sayur,Sedang
mobil.jpg,Mobil,Mobil adalah kendaraan bermotor beroda empat.,Transportasi,Mudah
motor.jpg,Motor,Motor adalah kendaraan roda dua yang cepat dan praktis.,Transportasi,Mudah
sepeda.jpg,Sepeda,Sepeda adalah alat transportasi ramah lingkungan.,Transportasi,Mudah
kereta.jpg,Kereta,Kereta adalah kendaraan umum yang berjalan di rel.,Transportasi,Mudah
pesawat.jpg,Pesawat,Pesawat digunakan untuk perjalanan jarak jauh melalui udara.,Transportasi,Mudah
truk.jpg,Truk,Truk adalah kendaraan besar untuk mengangkut barang.,Transportasi,Sedang
kapal.jpg,Kapal,Kapal adalah kendaraan air yang digunakan untuk menyeberangi lautan.,Transportasi,Sedang
bus.jpg,Bus,Bus adalah kendaraan umum yang mampu mengangkut banyak penumpang.,Transportasi,Sedang
bajaj.jpg,Bajaj,Bajaj adalah kendaraan bermotor tiga roda yang digunakan sebagai angkutan umum.,Transportasi,Sedang
delman.jpg,Delman,Delman adalah kendaraan tradisional ditarik oleh kuda yang digunakan untuk transportasi atau wisata.,Transportasi,Sedang
